processes,execution_time
1,0.000031
2,0.000074
3,0.000104
4,0.000084
5,0.000060
6,0.000040
7,0.000107
8,0.000109
9,0.000110
10,0.000093
11,0.000091
12,0.000148
13,0.000111
14,0.000097
15,0.000135
16,0.000136
